███████▉ | 10693/12000 [1:08:40<08:51,  2.46it/s, train/grad_norm=0.225, train/loss=0.00128, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10694/12000 [1:08:40<08:08,  2.67it/s, train/grad_norm=0.225, train/loss=0.00128, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10694/12000 [1:08:40<08:08,  2.67it/s, train/grad_norm=0.185, train/loss=0.00389, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10695/12000 [1:08:41<07:43,  2.81it/s, train/grad_norm=0.185, train/loss=0.00389, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10695/12000 [1:08:41<07:43,  2.81it/s, train/grad_norm=0.278, train/loss=0.00114, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10696/12000 [1:08:41<08:57,  2.43it/s, train/grad_norm=0.278, train/loss=0.00114, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10696/12000 [1:08:41<08:57,  2.43it/s, train/grad_norm=0.236, train/loss=0.00273, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10697/12000 [1:08:42<08:17,  2.62it/s, train/grad_norm=0.236, train/loss=0.00273, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10697/12000 [1:08:42<08:17,  2.62it/s, train/grad_norm=0.247, train/loss=0.00736, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10698/12000 [1:08:42<07:38,  2.84it/s, train/grad_norm=0.247, train/loss=0.00736, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10698/12000 [1:08:42<07:38,  2.84it/s, train/grad_norm=0.261, train/loss=0.000614, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10699/12000 [1:08:42<08:45,  2.48it/s, train/grad_norm=0.261, train/loss=0.000614, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10699/12000 [1:08:42<08:45,  2.48it/s, train/grad_norm=0.156, train/loss=0.00312, train/lr=8.86e-6] 
Steps:  89%|████████▉ | 10700/12000 [1:08:43<08:02,  2.69it/s, train/grad_norm=0.156, train/loss=0.00312, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10700/12000 [1:08:43<08:02,  2.69it/s, train/grad_norm=0.18, train/loss=0.0236, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10701/12000 [1:08:43<07:32,  2.87it/s, train/grad_norm=0.18, train/loss=0.0236, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10701/12000 [1:08:43<07:32,  2.87it/s, train/grad_norm=0.167, train/loss=0.0213, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10702/12000 [1:08:44<08:50,  2.45it/s, train/grad_norm=0.167, train/loss=0.0213, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10702/12000 [1:08:44<08:50,  2.45it/s, train/grad_norm=0.143, train/loss=0.00466, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10703/12000 [1:08:44<08:05,  2.67it/s, train/grad_norm=0.143, train/loss=0.00466, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10703/12000 [1:08:44<08:05,  2.67it/s, train/grad_norm=0.129, train/loss=0.00301, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10704/12000 [1:08:44<07:44,  2.79it/s, train/grad_norm=0.129, train/loss=0.00301, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10704/12000 [1:08:44<07:44,  2.79it/s, train/grad_norm=0.18, train/loss=0.0255, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10705/12000 [1:08:45<09:01,  2.39it/s, train/grad_norm=0.18, train/loss=0.0255, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10705/12000 [1:08:45<09:01,  2.39it/s, train/grad_norm=0.0999, train/loss=0.000968, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10706/12000 [1:08:45<08:14,  2.62it/s, train/grad_norm=0.0999, train/loss=0.000968, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10706/12000 [1:08:45<08:14,  2.62it/s, train/grad_norm=0.0896, train/loss=0.00137, train/lr=8.86e-6] 
Steps:  89%|████████▉ | 10707/12000 [1:08:45<07:39,  2.81it/s, train/grad_norm=0.0896, train/loss=0.00137, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10707/12000 [1:08:45<07:39,  2.81it/s, train/grad_norm=0.115, train/loss=0.0239, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10708/12000 [1:08:46<08:51,  2.43it/s, train/grad_norm=0.115, train/loss=0.0239, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10708/12000 [1:08:46<08:51,  2.43it/s, train/grad_norm=0.111, train/loss=0.0123, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10709/12000 [1:08:46<08:06,  2.65it/s, train/grad_norm=0.111, train/loss=0.0123, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10709/12000 [1:08:46<08:06,  2.65it/s, train/grad_norm=0.126, train/loss=0.00345, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10710/12000 [1:08:46<07:37,  2.82it/s, train/grad_norm=0.126, train/loss=0.00345, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10710/12000 [1:08:46<07:37,  2.82it/s, train/grad_norm=0.0844, train/loss=0.000611, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10711/12000 [1:08:47<08:53,  2.42it/s, train/grad_norm=0.0844, train/loss=0.000611, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10711/12000 [1:08:47<08:53,  2.42it/s, train/grad_norm=0.102, train/loss=0.00298, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10712/12000 [1:08:47<08:08,  2.64it/s, train/grad_norm=0.102, train/loss=0.00298, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10712/12000 [1:08:47<08:08,  2.64it/s, train/grad_norm=0.0782, train/loss=0.00452, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10713/12000 [1:08:48<07:42,  2.78it/s, train/grad_norm=0.0782, train/loss=0.00452, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10713/12000 [1:08:48<07:42,  2.78it/s, train/grad_norm=0.0849, train/loss=0.0015, train/lr=8.86e-6] 
Steps:  89%|████████▉ | 10714/12000 [1:08:48<09:06,  2.35it/s, train/grad_norm=0.0849, train/loss=0.0015, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10714/12000 [1:08:48<09:06,  2.35it/s, train/grad_norm=0.136, train/loss=0.0246, train/lr=8.86e-6] 
Steps:  89%|████████▉ | 10715/12000 [1:08:49<08:16,  2.59it/s, train/grad_norm=0.136, train/loss=0.0246, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10715/12000 [1:08:49<08:16,  2.59it/s, train/grad_norm=0.0913, train/loss=0.00499, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10716/12000 [1:08:49<07:44,  2.76it/s, train/grad_norm=0.0913, train/loss=0.00499, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10716/12000 [1:08:49<07:44,  2.76it/s, train/grad_norm=0.146, train/loss=0.00281, train/lr=8.86e-6] 
Steps:  89%|████████▉ | 10717/12000 [1:08:49<08:49,  2.42it/s, train/grad_norm=0.146, train/loss=0.00281, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10717/12000 [1:08:49<08:49,  2.42it/s, train/grad_norm=0.119, train/loss=0.00198, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10718/12000 [1:08:50<08:06,  2.64it/s, train/grad_norm=0.119, train/loss=0.00198, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10718/12000 [1:08:50<08:06,  2.64it/s, train/grad_norm=0.12, train/loss=0.0142, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10719/12000 [1:08:50<07:37,  2.80it/s, train/grad_norm=0.12, train/loss=0.0142, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10719/12000 [1:08:50<07:37,  2.80it/s, train/grad_norm=0.0815, train/loss=0.00199, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10720/12000 [1:08:50<08:41,  2.45it/s, train/grad_norm=0.0815, train/loss=0.00199, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10720/12000 [1:08:50<08:41,  2.45it/s, train/grad_norm=0.166, train/loss=0.0119, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10721/12000 [1:08:51<07:57,  2.68it/s, train/grad_norm=0.166, train/loss=0.0119, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10721/12000 [1:08:51<07:57,  2.68it/s, train/grad_norm=0.0788, train/loss=0.00247, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10722/12000 [1:08:51<07:30,  2.84it/s, train/grad_norm=0.0788, train/loss=0.00247, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10722/12000 [1:08:51<07:30,  2.84it/s, train/grad_norm=0.09, train/loss=0.00199, train/lr=8.86e-6]  
Steps:  89%|████████▉ | 10723/12000 [1:08:52<08:31,  2.50it/s, train/grad_norm=0.09, train/loss=0.00199, train/lr=8.86e-6]
Steps:  89%|████████▉ | 10723/12000 [1:08:52<08:31,  2.50it/s, train/grad_norm=0.077, train/loss=0.00302, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10724/12000 [1:08:52<07:50,  2.71it/s, train/grad_norm=0.077, train/loss=0.00302, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10724/12000 [1:08:52<07:50,  2.71it/s, train/grad_norm=0.0793, train/loss=0.00122, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10725/12000 [1:08:52<07:23,  2.87it/s, train/grad_norm=0.0793, train/loss=0.00122, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10725/12000 [1:08:52<07:23,  2.87it/s, train/grad_norm=0.108, train/loss=0.00154, train/lr=8.85e-6] 
Steps:  89%|████████▉ | 10726/12000 [1:08:53<08:29,  2.50it/s, train/grad_norm=0.108, train/loss=0.00154, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10726/12000 [1:08:53<08:29,  2.50it/s, train/grad_norm=0.096, train/loss=0.0181, train/lr=8.85e-6] 
Steps:  89%|████████▉ | 10727/12000 [1:08:53<07:48,  2.71it/s, train/grad_norm=0.096, train/loss=0.0181, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10727/12000 [1:08:53<07:48,  2.71it/s, train/grad_norm=0.101, train/loss=0.00109, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10728/12000 [1:08:53<07:21,  2.88it/s, train/grad_norm=0.101, train/loss=0.00109, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10728/12000 [1:08:53<07:21,  2.88it/s, train/grad_norm=0.0712, train/loss=0.000451, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10729/12000 [1:08:54<08:29,  2.50it/s, train/grad_norm=0.0712, train/loss=0.000451, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10729/12000 [1:08:54<08:29,  2.50it/s, train/grad_norm=0.0705, train/loss=0.000917, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10730/12000 [1:08:54<07:48,  2.71it/s, train/grad_norm=0.0705, train/loss=0.000917, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10730/12000 [1:08:54<07:48,  2.71it/s, train/grad_norm=0.0927, train/loss=0.00514, train/lr=8.85e-6] 
Steps:  89%|████████▉ | 10731/12000 [1:08:54<07:11,  2.94it/s, train/grad_norm=0.0927, train/loss=0.00514, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10731/12000 [1:08:54<07:11,  2.94it/s, train/grad_norm=0.076, train/loss=0.000624, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10732/12000 [1:08:55<08:20,  2.53it/s, train/grad_norm=0.076, train/loss=0.000624, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10732/12000 [1:08:55<08:20,  2.53it/s, train/grad_norm=0.122, train/loss=0.00149, train/lr=8.85e-6] 
Steps:  89%|████████▉ | 10733/12000 [1:08:55<07:41,  2.75it/s, train/grad_norm=0.122, train/loss=0.00149, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10733/12000 [1:08:55<07:41,  2.75it/s, train/grad_norm=0.122, train/loss=0.00598, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10734/12000 [1:08:55<07:16,  2.90it/s, train/grad_norm=0.122, train/loss=0.00598, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10734/12000 [1:08:55<07:16,  2.90it/s, train/grad_norm=0.085, train/loss=0.000502, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10735/12000 [1:08:56<08:27,  2.49it/s, train/grad_norm=0.085, train/loss=0.000502, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10735/12000 [1:08:56<08:27,  2.49it/s, train/grad_norm=0.0781, train/loss=0.00213, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10736/12000 [1:08:56<07:46,  2.71it/s, train/grad_norm=0.0781, train/loss=0.00213, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10736/12000 [1:08:56<07:46,  2.71it/s, train/grad_norm=0.108, train/loss=0.00873, train/lr=8.85e-6] 
Steps:  89%|████████▉ | 10737/12000 [1:08:57<07:21,  2.86it/s, train/grad_norm=0.108, train/loss=0.00873, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10737/12000 [1:08:57<07:21,  2.86it/s, train/grad_norm=0.192, train/loss=0.026, train/lr=8.85e-6]  
Steps:  89%|████████▉ | 10738/12000 [1:08:57<08:30,  2.47it/s, train/grad_norm=0.192, train/loss=0.026, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10738/12000 [1:08:57<08:30,  2.47it/s, train/grad_norm=0.0963, train/loss=0.00176, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10739/12000 [1:08:57<07:48,  2.69it/s, train/grad_norm=0.0963, train/loss=0.00176, train/lr=8.85e-6]
Steps:  89%|████████▉ | 10739/12000 [1:08:57<07:48,  2.69it/s, train/grad_norm=0.182, train/loss=0.0231, train/lr=8.85e-6]  
Steps:  90%|████████▉ | 10740/12000 [1:08:58<07:19,  2.87it/s, train/grad_norm=0.182, train/loss=0.0231, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10740/12000 [1:08:58<07:19,  2.87it/s, train/grad_norm=0.0798, train/loss=0.00828, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10741/12000 [1:08:58<08:29,  2.47it/s, train/grad_norm=0.0798, train/loss=0.00828, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10741/12000 [1:08:58<08:29,  2.47it/s, train/grad_norm=0.135, train/loss=0.00196, train/lr=8.85e-6] 
Steps:  90%|████████▉ | 10742/12000 [1:08:59<07:50,  2.67it/s, train/grad_norm=0.135, train/loss=0.00196, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10742/12000 [1:08:59<07:50,  2.67it/s, train/grad_norm=0.0909, train/loss=0.00171, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10743/12000 [1:08:59<07:31,  2.78it/s, train/grad_norm=0.0909, train/loss=0.00171, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10743/12000 [1:08:59<07:31,  2.78it/s, train/grad_norm=0.128, train/loss=0.0031, train/lr=8.85e-6]  
Steps:  90%|████████▉ | 10744/12000 [1:08:59<08:34,  2.44it/s, train/grad_norm=0.128, train/loss=0.0031, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10744/12000 [1:08:59<08:34,  2.44it/s, train/grad_norm=0.0986, train/loss=0.00678, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10745/12000 [1:09:00<07:51,  2.66it/s, train/grad_norm=0.0986, train/loss=0.00678, train/lr=8.85e-6]
Steps:  90%|████████▉ | 10745/12000 [1:09:00<07:51,  2.66it/s, train/grad_norm=0.129, train/loss=0.0232, train/lr=8.85e-6]  
